Date,IT Dep.,CostElement,Country,Budget,,
09/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
10/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
11/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
12/01/2020,Administration,Outbound Allocations,United Kingdom,721,,
01/01/2020,Administration,Recognition,USA,23,,
02/01/2020,Administration,Recognition,USA,23,,
03/01/2020,Administration,Recognition,USA,23,,
04/01/2020,Administration,Recognition,USA,23,,
05/01/2020,Administration,Recognition,USA,23,,
06/01/2020,Administration,Recognition,USA,23,,
07/01/2020,Administration,Recognition,USA,23,,
08/01/2020,Administration,Recognition,USA,23,,
09/01/2020,Administration,Recognition,USA,23,,
10/01/2020,Administration,Recognition,USA,23,,
11/01/2020,Administration,Recognition,USA,23,,
12/01/2020,Administration,Recognition,USA,23,,
01/01/2020,Administration,Supplies,USA,458,,
02/01/2020,Administration,Supplies,USA,458,,
03/01/2020,Administration,Supplies,USA,458,,
04/01/2020,Administration,Supplies,USA,458,,
05/01/2020,Administration,Supplies,USA,458,,
06/01/2020,Administration,Supplies,USA,458,,
07/01/2020,Administration,Supplies,USA,458,,
08/01/2020,Administration,Supplies,USA,458,,
09/01/2020,Administration,Supplies,USA,458,,
10/01/2020,Administration,Supplies,USA,458,,
11/01/2020,Administration,Supplies,USA,458,,
12/01/2020,Administration,Supplies,USA,458,,
01/01/2020,Administration,Telecomm,USA,"3,000",,
02/01/2020,Administration,Telecomm,USA,"3,000",,
03/01/2020,Administration,Telecomm,USA,"3,000",,
04/01/2020,Administration,Telecomm,USA,"3,000",,
05/01/2020,Administration,Telecomm,USA,"3,000",,
06/01/2020,Administration,Telecomm,USA,"3,000",,
07/01/2020,Administration,Telecomm,USA,"3,000",,
08/01/2020,Administration,Telecomm,USA,"3,000",,
09/01/2020,Administration,Telecomm,USA,"3,000",,
10/01/2020,Administration,Telecomm,USA,"3,000",,
11/01/2020,Administration,Telecomm,USA,"3,000",,
12/01/2020,Administration,Telecomm,USA,"3,000",,
03/01/2020,Administration,Training,USA,"1,458",,
04/01/2020,Administration,Training,USA,"1,458",,
05/01/2020,Administration,Training,USA,"1,563",,
06/01/2020,Administration,Training,USA,"1,563",,
07/01/2020,Administration,Training,USA,"1,563",,
08/01/2020,Administration,Training,USA,"1,458",,
09/01/2020,Administration,Training,USA,"1,458",,
10/01/2020,Administration,Training,USA,"1,458",,
03/01/2020,Administration,Travel,USA,"18,750",,
06/01/2020,Administration,Travel,USA,"18,750",,
09/01/2020,Administration,Travel,USA,"18,750",,
12/01/2020,Administration,Travel,USA,"18,750",,
01/01/2020,Architecture,Depreciation,USA,693,,
02/01/2020,Architecture,Depreciation,USA,693,,
03/01/2020,Architecture,Depreciation,USA,693,,
04/01/2020,Architecture,Depreciation,USA,693,,
05/01/2020,Architecture,Depreciation,USA,693,,
06/01/2020,Architecture,Depreciation,USA,693,,
07/01/2020,Architecture,Depreciation,USA,693,,
08/01/2020,Architecture,Depreciation,USA,693,,
09/01/2020,Architecture,Depreciation,USA,693,,
10/01/2020,Architecture,Depreciation,USA,693,,
11/01/2020,Architecture,Depreciation,USA,693,,
12/01/2020,Architecture,Depreciation,USA,693,,
01/01/2020,Architecture,Employee Performance,USA,58,,
02/01/2020,Architecture,Employee Performance,USA,58,,
03/01/2020,Architecture,Employee Performance,USA,58,,
04/01/2020,Architecture,Employee Performance,USA,58,,
05/01/2020,Architecture,Employee Performance,USA,58,,
06/01/2020,Architecture,Employee Performance,USA,58,,
07/01/2020,Architecture,Employee Performance,USA,58,,
08/01/2020,Architecture,Employee Performance,USA,58,,
09/01/2020,Architecture,Employee Performance,USA,58,,
10/01/2020,Architecture,Employee Performance,USA,58,,
11/01/2020,Architecture,Employee Performance,USA,58,,
12/01/2020,Architecture,Employee Performance,USA,58,,
01/01/2020,Architecture,External Labor,USA,"1,265",,
02/01/2020,Architecture,External Labor,USA,"1,265",,
03/01/2020,Architecture,External Labor,USA,"1,265",,
04/01/2020,Architecture,External Labor,USA,"1,265",,
05/01/2020,Architecture,External Labor,USA,"1,265",,
06/01/2020,Architecture,External Labor,USA,"1,265",,
07/01/2020,Architecture,External Labor,USA,"1,265",,
08/01/2020,Architecture,External Labor,USA,"1,265",,
09/01/2020,Architecture,External Labor,USA,"1,265",,
10/01/2020,Architecture,External Labor,USA,"1,265",,
11/01/2020,Architecture,External Labor,USA,"1,265",,
12/01/2020,Architecture,External Labor,USA,"1,265",,
01/01/2020,Architecture,Hardware,USA,"1,000",,
02/01/2020,Architecture,Hardware,USA,"1,000",,
03/01/2020,Architecture,Hardware,USA,"1,000",,
04/01/2020,Architecture,Hardware,USA,"1,000",,
05/01/2020,Architecture,Hardware,USA,"1,000",,
06/01/2020,Architecture,Hardware,USA,"1,000",,
07/01/2020,Architecture,Hardware,USA,"1,000",,
08/01/2020,Architecture,Hardware,USA,"1,000",,
09/01/2020,Architecture,Hardware,USA,"1,000",,
10/01/2020,Architecture,Hardware,USA,"1,000",,
11/01/2020,Architecture,Hardware,USA,"1,000",,
12/01/2020,Architecture,Hardware,USA,"1,000",,
01/01/2020,Architecture,Hardware Maintenance,USA,15,,
02/01/2020,Architecture,Hardware Maintenance,USA,15,,
03/01/2020,Architecture,Hardware Maintenance,USA,15,,
04/01/2020,Architecture,Hardware Maintenance,USA,15,,
05/01/2020,Architecture,Hardware Maintenance,USA,15,,
06/01/2020,Architecture,Hardware Maintenance,USA,15,,
07/01/2020,Architecture,Hardware Maintenance,USA,15,,
08/01/2020,Architecture,Hardware Maintenance,USA,15,,
09/01/2020,Architecture,Hardware Maintenance,USA,15,,
10/01/2020,Architecture,Hardware Maintenance,USA,15,,
11/01/2020,Architecture,Hardware Maintenance,USA,15,,
12/01/2020,Architecture,Hardware Maintenance,USA,15,,
01/01/2020,Architecture,Internal Labor,USA,"40,259",,
02/01/2020,Architecture,Internal Labor,USA,"41,063",,
03/01/2020,Architecture,Internal Labor,USA,"44,855",,
04/01/2020,Architecture,Internal Labor,USA,"41,232",,
05/01/2020,Architecture,Internal Labor,USA,"41,232",,
06/01/2020,Architecture,Internal Labor,USA,"41,232",,
07/01/2020,Architecture,Internal Labor,USA,"41,300",,
08/01/2020,Architecture,Internal Labor,USA,"41,149",,
09/01/2020,Architecture,Internal Labor,USA,"40,889",,
10/01/2020,Architecture,Internal Labor,USA,"41,325",,
11/01/2020,Architecture,Internal Labor,USA,"41,192",,
12/01/2020,Architecture,Internal Labor,USA,"41,184",,
01/01/2020,Architecture,Other,USA,300,,
02/01/2020,Architecture,Other,USA,300,,
03/01/2020,Architecture,Other,USA,"9,675",,
04/01/2020,Architecture,Other,USA,300,,
05/01/2020,Architecture,Other,USA,300,,
06/01/2020,Architecture,Other,USA,300,,
07/01/2020,Architecture,Other,USA,300,,
08/01/2020,Architecture,Other,USA,300,,
09/01/2020,Architecture,Other,USA,"7,050",,
10/01/2020,Architecture,Other,USA,"7,050",,
11/01/2020,Architecture,Other,USA,"7,050",,
12/01/2020,Architecture,Other,USA,"7,050",,
01/01/2020,Architecture,Recognition,USA,15,,
02/01/2020,Architecture,Recognition,USA,15,,
03/01/2020,Architecture,Recognition,USA,15,,
04/01/2020,Architecture,Recognition,USA,15,,
05/01/2020,Architecture,Recognition,USA,15,,
06/01/2020,Architecture,Recognition,USA,15,,
07/01/2020,Architecture,Recognition,USA,15,,
08/01/2020,Architecture,Recognition,USA,15,,
09/01/2020,Architecture,Recognition,USA,15,,
10/01/2020,Architecture,Recognition,USA,15,,
11/01/2020,Architecture,Recognition,USA,15,,
12/01/2020,Architecture,Recognition,USA,15,,
01/01/2020,Architecture,Software,USA,625,,
02/01/2020,Architecture,Software,USA,625,,
03/01/2020,Architecture,Software,USA,625,,
04/01/2020,Architecture,Software,USA,625,,
05/01/2020,Architecture,Software,USA,625,,
06/01/2020,Architecture,Software,USA,625,,
07/01/2020,Architecture,Software,USA,625,,
08/01/2020,Architecture,Software,USA,625,,
09/01/2020,Architecture,Software,USA,625,,
10/01/2020,Architecture,Software,USA,625,,
11/01/2020,Architecture,Software,USA,625,,
12/01/2020,Architecture,Software,USA,625,,
01/01/2020,Architecture,Supplies,USA,311,,
02/01/2020,Architecture,Supplies,USA,311,,
03/01/2020,Architecture,Supplies,USA,311,,
04/01/2020,Architecture,Supplies,USA,311,,
05/01/2020,Architecture,Supplies,USA,311,,
06/01/2020,Architecture,Supplies,USA,311,,
07/01/2020,Architecture,Supplies,USA,311,,
08/01/2020,Architecture,Supplies,USA,311,,
09/01/2020,Architecture,Supplies,USA,311,,
10/01/2020,Architecture,Supplies,USA,311,,
11/01/2020,Architecture,Supplies,USA,311,,
12/01/2020,Architecture,Supplies,USA,311,,
01/01/2020,Architecture,Taxes,USA,28,,
02/01/2020,Architecture,Taxes,USA,28,,
03/01/2020,Architecture,Taxes,USA,28,,
04/01/2020,Architecture,Taxes,USA,28,,
05/01/2020,Architecture,Taxes,USA,28,,
06/01/2020,Architecture,Taxes,USA,28,,
07/01/2020,Architecture,Taxes,USA,28,,
08/01/2020,Architecture,Taxes,USA,28,,
09/01/2020,Architecture,Taxes,USA,28,,
10/01/2020,Architecture,Taxes,USA,28,,
11/01/2020,Architecture,Taxes,USA,28,,
12/01/2020,Architecture,Taxes,USA,28,,
01/01/2020,Architecture,Telecomm,USA,768,,
02/01/2020,Architecture,Telecomm,USA,768,,
03/01/2020,Architecture,Telecomm,USA,768,,
04/01/2020,Architecture,Telecomm,USA,768,,
05/01/2020,Architecture,Telecomm,USA,768,,
06/01/2020,Architecture,Telecomm,USA,768,,
07/01/2020,Architecture,Telecomm,USA,768,,
08/01/2020,Architecture,Telecomm,USA,768,,
09/01/2020,Architecture,Telecomm,USA,768,,
10/01/2020,Architecture,Telecomm,USA,768,,
11/01/2020,Architecture,Telecomm,USA,768,,
12/01/2020,Architecture,Telecomm,USA,768,,
01/01/2020,Architecture,Training,USA,119,,
02/01/2020,Architecture,Training,USA,"1,347",,
03/01/2020,Architecture,Training,USA,"1,347",,
04/01/2020,Architecture,Training,USA,"1,347",,
05/01/2020,Architecture,Training,USA,"1,347",,
06/01/2020,Architecture,Training,USA,"1,347",,
07/01/2020,Architecture,Training,USA,"1,347",,
08/01/2020,Architecture,Training,USA,"1,347",,
09/01/2020,Architecture,Training,USA,"1,347",,
10/01/2020,Architecture,Training,USA,"1,347",,
11/01/2020,Architecture,Training,USA,"1,347",,
12/01/2020,Architecture,Training,USA,119,,
02/01/2020,Architecture,Travel,USA,655,,
03/01/2020,Architecture,Travel,USA,655,,
04/01/2020,Architecture,Travel,USA,655,,
05/01/2020,Architecture,Travel,USA,655,,
06/01/2020,Architecture,Travel,USA,655,,
07/01/2020,Architecture,Travel,USA,655,,
08/01/2020,Architecture,Travel,USA,655,,
09/01/2020,Architecture,Travel,USA,655,,
10/01/2020,Architecture,Travel,USA,655,,
11/01/2020,Architecture,Travel,USA,655,,
06/01/2020,Business Intelligence,Administrative,USA,"-4,200",,
07/01/2020,Business Intelligence,Administrative,USA,"-4,200",,
08/01/2020,Business Intelligence,Administrative,USA,"-4,200",,
09/01/2020,Business Intelligence,Administrative,USA,"-4,200",,
10/01/2020,Business Intelligence,Administrative,USA,"-4,200",,
11/01/2020,Business Intelligence,Administrative,USA,"-4,200",,
12/01/2020,Business Intelligence,Administrative,USA,"-4,200",,
01/01/2020,Business Intelligence,Employee Performance,USA,101,,
02/01/2020,Business Intelligence,Employee Performance,USA,101,,
03/01/2020,Business Intelligence,Employee Performance,USA,101,,
04/01/2020,Business Intelligence,Employee Performance,USA,101,,
05/01/2020,Business Intelligence,Employee Performance,USA,101,,
06/01/2020,Business Intelligence,Employee Performance,USA,101,,
07/01/2020,Business Intelligence,Employee Performance,USA,101,,
08/01/2020,Business Intelligence,Employee Performance,USA,101,,
09/01/2020,Business Intelligence,Employee Performance,USA,101,,
10/01/2020,Business Intelligence,Employee Performance,USA,101,,
11/01/2020,Business Intelligence,Employee Performance,USA,101,,
12/01/2020,Business Intelligence,Employee Performance,USA,101,,
01/01/2020,Business Intelligence,External Labor,USA,"10,271",,
02/01/2020,Business Intelligence,External Labor,USA,"10,271",,
03/01/2020,Business Intelligence,External Labor,USA,"10,271",,
04/01/2020,Business Intelligence,External Labor,USA,"10,271",,
05/01/2020,Business Intelligence,External Labor,USA,"10,271",,
06/01/2020,Business Intelligence,External Labor,USA,"15,389",,
07/01/2020,Business Intelligence,External Labor,USA,"15,389",,
08/01/2020,Business Intelligence,External Labor,USA,"15,389",,
09/01/2020,Business Intelligence,External Labor,USA,"15,389",,
10/01/2020,Business Intelligence,External Labor,USA,"15,389",,
11/01/2020,Business Intelligence,External Labor,USA,"15,389",,
12/01/2020,Business Intelligence,External Labor,USA,"15,389",,
01/01/2020,Business Intelligence,Hardware,USA,125,,
02/01/2020,Business Intelligence,Hardware,USA,125,,
03/01/2020,Business Intelligence,Hardware,USA,125,,
04/01/2020,Business Intelligence,Hardware,USA,125,,
05/01/2020,Business Intelligence,Hardware,USA,125,,
06/01/2020,Business Intelligence,Hardware,USA,125,,
07/01/2020,Business Intelligence,Hardware,USA,125,,
08/01/2020,Business Intelligence,Hardware,USA,125,,
09/01/2020,Business Intelligence,Hardware,USA,125,,
10/01/2020,Business Intelligence,Hardware,USA,125,,
11/01/2020,Business Intelligence,Hardware,USA,125,,
12/01/2020,Business Intelligence,Hardware,USA,125,,
01/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
02/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
03/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
04/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
05/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
06/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
07/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
08/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
09/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
10/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
11/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
12/01/2020,Business Intelligence,Hardware Maintenance,USA,125,,
01/01/2020,Business Intelligence,Internal Labor,USA,"59,420",,
02/01/2020,Business Intelligence,Internal Labor,USA,"60,567",,
03/01/2020,Business Intelligence,Internal Labor,USA,"65,940",,
04/01/2020,Business Intelligence,Internal Labor,USA,"61,026",,
05/01/2020,Business Intelligence,Internal Labor,USA,"61,026",,
06/01/2020,Business Intelligence,Internal Labor,USA,"61,026",,
07/01/2020,Business Intelligence,Internal Labor,USA,"61,455",,
08/01/2020,Business Intelligence,Internal Labor,USA,"61,451",,
09/01/2020,Business Intelligence,Internal Labor,USA,"61,206",,
10/01/2020,Business Intelligence,Internal Labor,USA,"62,287",,
11/01/2020,Business Intelligence,Internal Labor,USA,"61,467",,
12/01/2020,Business Intelligence,Internal Labor,USA,"61,322",,
01/01/2020,Business Intelligence,Other,USA,50,,
02/01/2020,Business Intelligence,Other,USA,50,,
03/01/2020,Business Intelligence,Other,USA,50,,
04/01/2020,Business Intelligence,Other,USA,50,,
05/01/2020,Business Intelligence,Other,USA,50,,
06/01/2020,Business Intelligence,Other,USA,50,,
07/01/2020,Business Intelligence,Other,USA,50,,
08/01/2020,Business Intelligence,Other,USA,50,,
09/01/2020,Business Intelligence,Other,USA,50,,
10/01/2020,Business Intelligence,Other,USA,50,,
11/01/2020,Business Intelligence,Other,USA,50,,
12/01/2020,Business Intelligence,Other,USA,50,,
01/01/2020,Business Intelligence,Recognition,USA,26,,
02/01/2020,Business Intelligence,Recognition,USA,26,,
03/01/2020,Business Intelligence,Recognition,USA,26,,
04/01/2020,Business Intelligence,Recognition,USA,26,,
05/01/2020,Business Intelligence,Recognition,USA,26,,
06/01/2020,Business Intelligence,Recognition,USA,26,,
07/01/2020,Business Intelligence,Recognition,USA,26,,
08/01/2020,Business Intelligence,Recognition,USA,26,,
09/01/2020,Business Intelligence,Recognition,USA,26,,
10/01/2020,Business Intelligence,Recognition,USA,26,,
11/01/2020,Business Intelligence,Recognition,USA,26,,
12/01/2020,Business Intelligence,Recognition,USA,26,,
01/01/2020,Business Intelligence,Software,USA,70,,
02/01/2020,Business Intelligence,Software,USA,70,,
03/01/2020,Business Intelligence,Software,USA,70,,
04/01/2020,Business Intelligence,Software,USA,70,,
05/01/2020,Business Intelligence,Software,USA,70,,
06/01/2020,Business Intelligence,Software,USA,70,,
07/01/2020,Business Intelligence,Software,USA,70,,
08/01/2020,Business Intelligence,Software,USA,70,,
09/01/2020,Business Intelligence,Software,USA,70,,
10/01/2020,Business Intelligence,Software,USA,70,,
11/01/2020,Business Intelligence,Software,USA,70,,
12/01/2020,Business Intelligence,Software,USA,70,,
07/01/2020,Business Intelligence,Software Maintenance,USA,"5,396",,
01/01/2020,Business Intelligence,Supplies,USA,210,,
02/01/2020,Business Intelligence,Supplies,USA,210,,
03/01/2020,Business Intelligence,Supplies,USA,210,,
04/01/2020,Business Intelligence,Supplies,USA,210,,
05/01/2020,Business Intelligence,Supplies,USA,210,,
06/01/2020,Business Intelligence,Supplies,USA,210,,
07/01/2020,Business Intelligence,Supplies,USA,210,,
08/01/2020,Business Intelligence,Supplies,USA,210,,
09/01/2020,Business Intelligence,Supplies,USA,210,,
10/01/2020,Business Intelligence,Supplies,USA,210,,
11/01/2020,Business Intelligence,Supplies,USA,210,,
12/01/2020,Business Intelligence,Supplies,USA,210,,
01/01/2020,Business Intelligence,Telecomm,USA,840,,
02/01/2020,Business Intelligence,Telecomm,USA,840,,
03/01/2020,Business Intelligence,Telecomm,USA,840,,
04/01/2020,Business Intelligence,Telecomm,USA,840,,
05/01/2020,Business Intelligence,Telecomm,USA,840,,
06/01/2020,Business Intelligence,Telecomm,USA,840,,
07/01/2020,Business Intelligence,Telecomm,USA,840,,
08/01/2020,Business Intelligence,Telecomm,USA,840,,
09/01/2020,Business Intelligence,Telecomm,USA,840,,
10/01/2020,Business Intelligence,Telecomm,USA,840,,
11/01/2020,Business Intelligence,Telecomm,USA,840,,
12/01/2020,Business Intelligence,Telecomm,USA,840,,
01/01/2020,Business Intelligence,Training,USA,"1,505",,
02/01/2020,Business Intelligence,Training,USA,"1,505",,
03/01/2020,Business Intelligence,Training,USA,"1,505",,
04/01/2020,Business Intelligence,Training,USA,"1,505",,
05/01/2020,Business Intelligence,Training,USA,"1,505",,
06/01/2020,Business Intelligence,Training,USA,"1,505",,
07/01/2020,Business Intelligence,Training,USA,"1,505",,
08/01/2020,Business Intelligence,Training,USA,"1,505",,
09/01/2020,Business Intelligence,Training,USA,"1,505",,
10/01/2020,Business Intelligence,Training,USA,"1,505",,
11/01/2020,Business Intelligence,Training,USA,"1,505",,
12/01/2020,Business Intelligence,Training,USA,"1,505",,
01/01/2020,Business Intelligence,Travel,USA,875,,
02/01/2020,Business Intelligence,Travel,USA,"2,975",,
03/01/2020,Business Intelligence,Travel,USA,875,,
04/01/2020,Business Intelligence,Travel,USA,875,,
05/01/2020,Business Intelligence,Travel,USA,"2,975",,
06/01/2020,Business Intelligence,Travel,USA,875,,
07/01/2020,Business Intelligence,Travel,USA,875,,
08/01/2020,Business Intelligence,Travel,USA,"2,975",,
09/01/2020,Business Intelligence,Travel,USA,875,,
10/01/2020,Business Intelligence,Travel,USA,875,,
11/01/2020,Business Intelligence,Travel,USA,"2,975",,
12/01/2020,Business Intelligence,Travel,USA,875,,
01/01/2020,Core,Employee Performance,USA,29,,
02/01/2020,Core,Employee Performance,USA,29,,
03/01/2020,Core,Employee Performance,USA,29,,
04/01/2020,Core,Employee Performance,USA,29,,
05/01/2020,Core,Employee Performance,USA,29,,
06/01/2020,Core,Employee Performance,USA,29,,
07/01/2020,Core,Employee Performance,USA,29,,
08/01/2020,Core,Employee Performance,USA,29,,
09/01/2020,Core,Employee Performance,USA,29,,
10/01/2020,Core,Employee Performance,USA,29,,
11/01/2020,Core,Employee Performance,USA,29,,
12/01/2020,Core,Employee Performance,USA,29,,
01/01/2020,Core,Internal Labor,USA,"19,397",,
02/01/2020,Core,Internal Labor,USA,"20,544",,
03/01/2020,Core,Internal Labor,USA,"21,380",,
04/01/2020,Core,Internal Labor,USA,"19,729",,
05/01/2020,Core,Internal Labor,USA,"19,729",,
06/01/2020,Core,Internal Labor,USA,"19,729",,
07/01/2020,Core,Internal Labor,USA,"19,852",,
08/01/2020,Core,Internal Labor,USA,"19,852",,
09/01/2020,Core,Internal Labor,USA,"19,852",,
10/01/2020,Core,Internal Labor,USA,"20,161",,
11/01/2020,Core,Internal Labor,USA,"19,945",,
12/01/2020,Core,Internal Labor,USA,"19,812",,
01/01/2020,Core,Other,USA,400,,
02/01/2020,Core,Other,USA,400,,
03/01/2020,Core,Other,USA,400,,
04/01/2020,Core,Other,USA,400,,
05/01/2020,Core,Other,USA,400,,
06/01/2020,Core,Other,USA,400,,
07/01/2020,Core,Other,USA,400,,
08/01/2020,Core,Other,USA,400,,
09/01/2020,Core,Other,USA,400,,
10/01/2020,Core,Other,USA,400,,
11/01/2020,Core,Other,USA,400,,
12/01/2020,Core,Other,USA,400,,
01/01/2020,Core,Recognition,USA,8,,
02/01/2020,Core,Recognition,USA,8,,
03/01/2020,Core,Recognition,USA,8,,
04/01/2020,Core,Recognition,USA,8,,
05/01/2020,Core,Recognition,USA,8,,
06/01/2020,Core,Recognition,USA,8,,
07/01/2020,Core,Recognition,USA,8,,
08/01/2020,Core,Recognition,USA,8,,
09/01/2020,Core,Recognition,USA,8,,
10/01/2020,Core,Recognition,USA,8,,
11/01/2020,Core,Recognition,USA,8,,
12/01/2020,Core,Recognition,USA,8,,
01/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
02/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
03/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
04/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
05/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
06/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
07/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
08/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
09/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
10/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
11/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
12/01/2020,Core Infrastructure,Depreciation,Brazil,"18,716",,
01/01/2020,Core Infrastructure,Depreciation,Canada,"12,617",,
02/01/2020,Core Infrastructure,Depreciation,Canada,"12,617",,
